z.average.synthesized,z.average.serum,volume.mean.synthesized,volume.mean.serum,number.mean.synthesized,number.mean.serum,intensity.mean.synthesized,intensity.mean.serum,polydispersity.index.synthesized,polydispersity.index.serum,zeta.potential.synthesized,zeta.potential.serum,lspr.index.synthesized,lspr.index.serum,lspr.peak.position.synthesized,serum.density.protot,serum.density.autot,total.spc,num.protein.id,cell.association
146.59,226.51,45.88,34.47,145.75,23,145.75,168.93,0.371,0.439,-2.84,-5.01,0.352100949,0.347884421,526.13,0.568,222.0457361,1113,63,Low
27.18,127.34,22.97,145.01,30.92,97.42,30.92,139.75,0.156,0.173,18.17,-8.07,0.24950092,0.419192998,521.84,1.7,263.6902732,1189,49,High
48.24,47.07,51.56,114.34,54,42.06,54,69.39,0.128,0.125,7.17,-3.77,0.24497241,0.291084149,520.53,0.153,234.8449432,163,16,Low
28.09,51.18,28.56,33.77,31.55,31.5,31.55,40.08,0.168,0.163,-9.35,-5.04,0.21317563,0.269449058,519.07,1.951,216.9577236,1838,113,Medium
183.16,43.77,299.33,31.39,281.85,27.01,281.85,74.93,0.314,0.34,-4.78,-7.95,0.76967269,0.354844606,544.1,0.596,192.6863174,1197,64,Low
34.96,44.75,96.53,29.93,65.69,25.8,65.69,64.33,0.188,0.299,-3.07,-5.35,0.322098726,0.350956807,524.93,0.333,230.5173636,709,61,Medium
23.9,41.64,23.23,41.61,25.21,39.84,25.21,43.85,0.113,0.129,-20.23,-7.81,0.29863054,0.313519973,527.1,4.791,239.3811166,1301,50,Medium
24.19,41.88,22.04,39.15,25.94,35.75,25.94,45.8,0.128,0.118,-21.32,-5.26,0.303223492,0.315817781,527.13,6.209,249.6826974,1311,48,Medium
252.88,61.79,379.63,181.76,321.41,32.61,321.41,87.24,0.301,0.184,-18.3,-7.57,0.497778911,0.363405935,553.17,3.302,237.6239296,1395,49,Medium
24.07,41.94,23.54,41.74,25.95,39.66,25.95,44.52,0.118,0.132,-13.98,-8.6,0.304125227,0.310763532,527.13,4.499,238.4606852,1736,61,Medium
42.4,64.65,39.16,135.24,43.53,34.06,43.53,79.07,0.153,0.252,-2.02,-3.89,0.322421342,0.397301092,526.9,0.272,224.7284063,520,56,Medium
23.12,41.78,6.45,13.09,31.1,10.63,31.1,69.43,0.419,0.421,18.85,-11.75,0.314176595,0.333633173,522.37,1.592,252.0687075,2228,46,High
24.78,68.07,1.02,347.84,69.08,31.91,69.08,121.9,0.41,0.31,12.19,-6.48,0.290991561,0.39566205,518,3.58,242.4780791,2576,104,High
34.16,34.77,34.69,34.82,36.95,32.84,36.95,38.28,0.117,0.135,-7.85,-1.73,0.228983236,0.269632854,520.7,0.436,255.1102652,115,11,Low
28.94,52.46,25.25,78.53,31.49,37.65,31.49,68.15,0.171,0.176,15.27,-7.04,0.253904726,0.252871777,521.03,5.331,239.8589584,3188,102,High
20.05,58.53,4.34,123.73,31.64,38.72,31.64,114.95,0.34,0.267,-28.93,-7.91,0.272687021,0.30344301,517.7,5.06,271.5171723,1882,89,Medium
22.74,41.93,32.56,114.85,40.11,37.84,40.11,64.81,0.172,0.14,-16.94,-10.42,0.259331735,0.295586882,519.53,5.593,248.3059611,1225,49,Medium
